Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Search & Rescue,Search & Rescue,Drake,83,2023-04-17 15:30:36+00:00
HEROES & VILLAINS,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,82,2023-04-14 12:02:02+00:00
Vessel,Fake You Out,,63,2023-04-09 18:38:14+00:00
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",you should see me in a crown,,79,2023-04-09 12:28:31+00:00
Blurryface,Tear in My Heart,,77,2023-04-06 13:44:34+00:00
Scaled And Icy,Shy Away,,70,2023-04-06 13:43:11+00:00
Blurryface,Heavydirtysoul,,73,2023-04-05 07:35:18+00:00
06 Gucci (feat. DaBaby & 21 Savage),06 Gucci (feat. DaBaby & 21 Savage),,65,2023-04-02 17:42:51+00:00
Only Built For Infinity Links,To The Bone (feat. YoungBoy Never Broke Again),,68,2023-04-02 17:42:38+00:00
Only Built For Infinity Links,Nothing Changed,,64,2023-04-02 17:42:31+00:00
Honey Bun,Honey Bun,,55,2023-04-02 17:42:04+00:00
Melt My Eyez See Your Future,Sanjuro,,60,2023-03-09 20:14:25+00:00
Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),,75,2023-02-28 08:50:27+00:00
Miss You,Miss You - Bonus Track,,82,2023-02-27 17:45:31+00:00
Kant Nobody,Kant Nobody (feat. DMX),,36,2023-02-24 16:02:14+00:00
Blurryface,Stressed Out,,88,2023-02-24 07:41:22+00:00
Her Şey Yolunda,Her Şey Yolunda,,53,2023-02-21 17:34:18+00:00
Might Not,Might Not,,33,2023-02-16 14:36:09+00:00
Nevermind (Remastered),Something In The Way,,75,2023-01-31 12:28:19+00:00
Dünya Fani,Dünya Fani,,60,2023-01-28 08:04:37+00:00
NKBİ X YAPAMAM (Remix),NKBİ X YAPAMAM - Remix,,73,2023-01-27 07:25:53+00:00
Kan,Vur,,66,2023-01-18 14:07:26+00:00
Cuatro Vientos (Rey&Kjavik Remix),Cuatro Vientos - Rey&Kjavik Remix,,60,2023-01-12 11:50:06+00:00
Starboy,Sidewalks,,74,2023-01-10 16:20:19+00:00
HEROES & VILLAINS,I Can't Save You (Interlude) [with Future & feat. Don Toliver],,79,2022-12-16 17:19:24+00:00
Karsu,Siyah,,53,2022-12-14 21:10:29+00:00
Down In Atlanta,Down In Atlanta,,70,2022-12-13 19:09:15+00:00
"One Mic, One Gun","One Mic, One Gun",,61,2022-12-13 18:58:44+00:00
